Player [playerName=null, gameScore=-2, alcoholLevel=0, xMove=3.5, getGameScore()=-2, getAlcoholLevel()=0, getPosX()=368.28234077145754]
Player [playerName=null, gameScore=-4, alcoholLevel=0, xMove=3.5, getGameScore()=-4, getAlcoholLevel()=0, getPosX()=371.78234077145754]
Player [playerName=null, gameScore=-6, alcoholLevel=0, xMove=3.5, getGameScore()=-6, getAlcoholLevel()=0, getPosX()=375.28234077145754]
Player [playerName=null, gameScore=-8, alcoholLevel=0, xMove=3.5, getGameScore()=-8, getAlcoholLevel()=0, getPosX()=378.78234077145754]
Player [playerName=null, gameScore=-10, alcoholLevel=0, xMove=3.5, getGameScore()=-10, getAlcoholLevel()=0, getPosX()=382.28234077145754]
Player [playerName=null, gameScore=-12, alcoholLevel=0, xMove=3.5, getGameScore()=-12, getAlcoholLevel()=0, getPosX()=385.78234077145754]
Player [playerName=null, gameScore=-14, alcoholLevel=0, xMove=3.5, getGameScore()=-14, getAlcoholLevel()=0, getPosX()=389.28234077145754]
Player [playerName=null, gameScore=-16, alcoholLevel=0, xMove=3.5, getGameScore()=-16, getAlcoholLevel()=0, getPosX()=392.78234077145754]
Player [playerName=null, gameScore=-18, alcoholLevel=0, xMove=3.5, getGameScore()=-18, getAlcoholLevel()=0, getPosX()=396.28234077145754]
Player [playerName=null, gameScore=-20, alcoholLevel=0, xMove=3.5, getGameScore()=-20, getAlcoholLevel()=0, getPosX()=399.78234077145754]
Player [playerName=null, gameScore=-22, alcoholLevel=0, xMove=3.5, getGameScore()=-22, getAlcoholLevel()=0, getPosX()=403.28234077145754]
Player [playerName=null, gameScore=-24, alcoholLevel=0, xMove=3.5, getGameScore()=-24, getAlcoholLevel()=0, getPosX()=406.78234077145754]
Player [playerName=null, gameScore=-26, alcoholLevel=0, xMove=3.5, getGameScore()=-26, getAlcoholLevel()=0, getPosX()=410.28234077145754]
Player [playerName=null, gameScore=-28, alcoholLevel=0, xMove=3.5, getGameScore()=-28, getAlcoholLevel()=0, getPosX()=413.78234077145754]
Player [playerName=null, gameScore=-30, alcoholLevel=0, xMove=3.5, getGameScore()=-30, getAlcoholLevel()=0, getPosX()=417.28234077145754]
Player [playerName=null, gameScore=-32, alcoholLevel=0, xMove=3.5, getGameScore()=-32, getAlcoholLevel()=0, getPosX()=420.78234077145754]
Player [playerName=null, gameScore=-34, alcoholLevel=0, xMove=3.5, getGameScore()=-34, getAlcoholLevel()=0, getPosX()=424.28234077145754]
Player [playerName=null, gameScore=-36, alcoholLevel=0, xMove=3.5, getGameScore()=-36, getAlcoholLevel()=0, getPosX()=427.78234077145754]
Player [playerName=null, gameScore=-38, alcoholLevel=0, xMove=3.5, getGameScore()=-38, getAlcoholLevel()=0, getPosX()=431.28234077145754]
Player [playerName=null, gameScore=-40, alcoholLevel=0, xMove=3.5, getGameScore()=-40, getAlcoholLevel()=0, getPosX()=434.78234077145754]
Player [playerName=null, gameScore=-42, alcoholLevel=0, xMove=3.5, getGameScore()=-42, getAlcoholLevel()=0, getPosX()=438.28234077145754]
Player [playerName=null, gameScore=-44, alcoholLevel=0, xMove=3.5, getGameScore()=-44, getAlcoholLevel()=0, getPosX()=441.78234077145754]
Player [playerName=null, gameScore=-46, alcoholLevel=0, xMove=3.5, getGameScore()=-46, getAlcoholLevel()=0, getPosX()=445.28234077145754]
Player [playerName=null, gameScore=-48, alcoholLevel=0, xMove=3.5, getGameScore()=-48, getAlcoholLevel()=0, getPosX()=448.78234077145754]
Player [playerName=null, gameScore=-50, alcoholLevel=0, xMove=3.5, getGameScore()=-50, getAlcoholLevel()=0, getPosX()=452.28234077145754]
Player [playerName=null, gameScore=-52, alcoholLevel=0, xMove=3.5, getGameScore()=-52, getAlcoholLevel()=0, getPosX()=455.78234077145754]
Player [playerName=null, gameScore=-54, alcoholLevel=0, xMove=3.5, getGameScore()=-54, getAlcoholLevel()=0, getPosX()=459.28234077145754]
Player [playerName=null, gameScore=-56, alcoholLevel=0, xMove=3.5, getGameScore()=-56, getAlcoholLevel()=0, getPosX()=462.78234077145754]
Player [playerName=null, gameScore=-58, alcoholLevel=0, xMove=3.5, getGameScore()=-58, getAlcoholLevel()=0, getPosX()=466.28234077145754]
Player [playerName=null, gameScore=-60, alcoholLevel=0, xMove=3.5, getGameScore()=-60, getAlcoholLevel()=0, getPosX()=469.78234077145754]
Player [playerName=null, gameScore=-62, alcoholLevel=0, xMove=3.5, getGameScore()=-62, getAlcoholLevel()=0, getPosX()=473.28234077145754]
Player [playerName=null, gameScore=-64, alcoholLevel=0, xMove=3.5, getGameScore()=-64, getAlcoholLevel()=0, getPosX()=476.78234077145754]
Player [playerName=null, gameScore=-66, alcoholLevel=0, xMove=3.5, getGameScore()=-66, getAlcoholLevel()=0, getPosX()=480.28234077145754]
Player [playerName=null, gameScore=-68, alcoholLevel=0, xMove=3.5, getGameScore()=-68, getAlcoholLevel()=0, getPosX()=483.78234077145754]
Player [playerName=null, gameScore=-70, alcoholLevel=0, xMove=3.5, getGameScore()=-70, getAlcoholLevel()=0, getPosX()=487.28234077145754]
Player [playerName=null, gameScore=-72, alcoholLevel=0, xMove=3.5, getGameScore()=-72, getAlcoholLevel()=0, getPosX()=490.78234077145754]
Player [playerName=null, gameScore=-74, alcoholLevel=0, xMove=3.5, getGameScore()=-74, getAlcoholLevel()=0, getPosX()=494.28234077145754]
Player [playerName=null, gameScore=-76, alcoholLevel=0, xMove=3.5, getGameScore()=-76, getAlcoholLevel()=0, getPosX()=497.78234077145754]
Player [playerName=null, gameScore=-78, alcoholLevel=0, xMove=3.5, getGameScore()=-78, getAlcoholLevel()=0, getPosX()=501.28234077145754]
Player [playerName=null, gameScore=-80, alcoholLevel=0, xMove=3.5, getGameScore()=-80, getAlcoholLevel()=0, getPosX()=504.78234077145754]
Player [playerName=null, gameScore=-82, alcoholLevel=0, xMove=3.5, getGameScore()=-82, getAlcoholLevel()=0, getPosX()=508.28234077145754]
Player [playerName=null, gameScore=-84, alcoholLevel=0, xMove=3.5, getGameScore()=-84, getAlcoholLevel()=0, getPosX()=511.78234077145754]
Player [playerName=null, gameScore=-86, alcoholLevel=0, xMove=3.5, getGameScore()=-86, getAlcoholLevel()=0, getPosX()=515.2823407714575]
Player [playerName=null, gameScore=-88, alcoholLevel=0, xMove=3.5, getGameScore()=-88, getAlcoholLevel()=0, getPosX()=518.7823407714575]
Player [playerName=null, gameScore=-90, alcoholLevel=0, xMove=3.5, getGameScore()=-90, getAlcoholLevel()=0, getPosX()=522.2823407714575]
